epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,109.067,2.65682,2.78442,3.23063,0.37402,0.35735,0.28819,0.11005,2.11146,4.90295,2.42009,0.00332645,0.00332645,0.070062
2,227.404,1.93355,2.01741,2.18494,0.45748,0.42679,0.39827,0.15894,2.00498,3.4477,2.14699,0.00659385,0.00659385,0.0399961
3,346.685,1.84445,1.99014,1.99427,0.2608,0.27367,0.16731,0.06658,2.3089,43.502,2.43266,0.00979525,0.00979525,0.00986412
4,464.842,1.82868,2.02758,1.93629,0.4773,0.40331,0.37026,0.16393,1.97713,3.23188,2.01387,0.009703,0.009703,0.009703
5,583.017,1.75447,1.88017,1.83293,0.52139,0.4999,0.4956,0.22933,1.8294,3.60612,1.87079,0.009604,0.009604,0.009604
6,701.894,1.69755,1.77609,1.7745,0.58201,0.48254,0.51627,0.23927,1.79201,2.25519,1.82215,0.009505,0.009505,0.009505
7,821.206,1.65614,1.69834,1.72927,0.60006,0.5509,0.57436,0.28808,1.71655,2.15537,1.74673,0.009406,0.009406,0.009406
10,1176.62,1.59356,1.56215,1.6534,0.62639,0.55215,0.6001,0.31151,1.62769,1.84791,1.67444,0.009109,0.009109,0.009109
11,1294.94,1.57814,1.53841,1.64577,0.65101,0.56014,0.61784,0.33349,1.62149,1.83142,1.67247,0.00901,0.00901,0.00901
12,1400.54,1.56605,1.50537,1.62741,0.64662,0.55302,0.61836,0.33227,1.63678,1.8159,1.6739,0.008911,0.008911,0.008911
13,1504,1.53999,1.47296,1.61294,0.6859,0.5918,0.66078,0.35951,1.54147,1.48558,1.57216,0.008812,0.008812,0.008812
14,1607.53,1.52937,1.44394,1.5978,0.69013,0.57959,0.65304,0.3542,1.55195,1.52878,1.60133,0.008713,0.008713,0.008713
15,1711.04,1.52514,1.43,1.58704,0.69069,0.6099,0.67305,0.37363,1.51185,1.46228,1.57429,0.008614,0.008614,0.008614
16,1814.66,1.51295,1.4046,1.56902,0.68937,0.6156,0.68029,0.37449,1.54765,1.52259,1.58208,0.008515,0.008515,0.008515
17,1917.47,1.50593,1.39589,1.56576,0.68524,0.61022,0.67089,0.38089,1.457,1.54502,1.54305,0.008416,0.008416,0.008416
18,2020.64,1.49457,1.37492,1.56174,0.70393,0.62322,0.68501,0.38207,1.48198,1.45129,1.54361,0.008317,0.008317,0.008317
19,2124.15,1.49186,1.36602,1.55388,0.70635,0.62653,0.69491,0.38272,1.47544,1.3166,1.54426,0.008218,0.008218,0.008218
20,2227.64,1.48394,1.3524,1.54541,0.73944,0.63712,0.7163,0.39746,1.46741,1.34471,1.53433,0.008119,0.008119,0.008119
21,2331.19,1.47205,1.32547,1.53181,0.7046,0.64279,0.71097,0.4002,1.46035,1.37204,1.52939,0.00802,0.00802,0.00802
22,2434.84,1.47117,1.30839,1.52816,0.71391,0.67046,0.72326,0.40494,1.45556,1.24352,1.51331,0.007921,0.007921,0.007921
