epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,83.9981,1.63942,2.69447,1.52392,0.46381,0.41784,0.38522,0.175,1.73892,2.33841,1.53874,0.00997938,0.00332646,0.00997938,0.00332646,0.00997938,0.00332646,0.00997938,0.00332646
2,153.444,1.66733,1.83099,1.51768,0.45895,0.39925,0.38985,0.17914,1.89857,3.16608,1.65782,0.0197816,0.00659386,0.0197816,0.00659386,0.0197816,0.00659386,0.0197816,0.00659386
3,215.594,1.75854,1.86411,1.59174,0.31884,0.29374,0.22955,0.09975,2.21613,7.00683,2.0432,0.0293858,0.00979526,0.0293858,0.00979526,0.0293858,0.00979526,0.0293858,0.00979526
4,277.637,1.79886,1.90622,1.63136,0.46936,0.38046,0.35154,0.16378,1.9012,2.92372,1.72086,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,339.166,1.7324,1.78833,1.59297,0.44183,0.39464,0.35534,0.16294,1.85898,2.4481,1.6994,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,401.414,1.66993,1.68431,1.53879,0.5711,0.51017,0.54071,0.26863,1.66912,2.1474,1.54806,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,463.644,1.64068,1.59953,1.51844,0.57601,0.53421,0.55056,0.27466,1.63845,2.06493,1.51461,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,525.819,1.60583,1.54856,1.49979,0.58794,0.5337,0.55116,0.29402,1.63959,1.94665,1.52069,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,588,1.58253,1.50072,1.47648,0.60153,0.56651,0.58899,0.30404,1.56626,1.60543,1.47516,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,650.262,1.56246,1.46067,1.46111,0.62671,0.54415,0.58989,0.31274,1.58257,1.50121,1.45904,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,712.398,1.53647,1.4344,1.44433,0.64139,0.56882,0.61343,0.32819,1.57496,1.51386,1.42943,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,774.671,1.53554,1.41098,1.43766,0.67044,0.60712,0.6575,0.36584,1.52888,1.66829,1.39734,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,836.894,1.51819,1.37364,1.42576,0.66157,0.61763,0.65998,0.34729,1.52359,1.48221,1.40057,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
