epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,170.226,2.68953,3.19085,3.3835,0.33525,0.33127,0.23814,0.09554,2.27715,4.77247,2.71129,0.00332645,0.00332645,0.070062
2,333.708,1.9743,2.18372,2.31912,0.38372,0.44236,0.3357,0.14161,1.90741,5.68069,2.24396,0.00659385,0.00659385,0.0399961
3,503.171,1.85916,2.14971,2.10002,0.35235,0.34146,0.23905,0.09192,2.03813,14.8916,2.32182,0.00979525,0.00979525,0.00986412
4,671.927,1.83984,2.15764,2.01409,0.39799,0.43624,0.3233,0.13651,1.90208,4.68268,2.1222,0.009703,0.009703,0.009703
5,841.045,1.76814,2.00721,1.90852,0.53778,0.44836,0.45066,0.21942,1.77821,2.58264,1.87291,0.009604,0.009604,0.009604
6,1010.19,1.71625,1.90914,1.85151,0.59794,0.49686,0.52444,0.2522,1.81866,2.86377,1.88643,0.009505,0.009505,0.009505
7,1179.17,1.68174,1.82228,1.81481,0.6266,0.48145,0.54063,0.26943,1.75441,1.99102,1.83486,0.009406,0.009406,0.009406
8,1348.38,1.64659,1.77766,1.77875,0.61624,0.52216,0.56449,0.28699,1.6739,2.01664,1.77507,0.009307,0.009307,0.009307
9,1517.49,1.62473,1.71147,1.7411,0.65084,0.52839,0.59346,0.30864,1.63085,1.9252,1.69233,0.009208,0.009208,0.009208
10,1686.63,1.61386,1.69138,1.72442,0.62144,0.56123,0.59141,0.31039,1.60479,2.04233,1.69324,0.009109,0.009109,0.009109
11,1855.6,1.60579,1.65408,1.71956,0.64649,0.51442,0.57328,0.30847,1.63932,2.02971,1.7232,0.00901,0.00901,0.00901
12,2024.52,1.59039,1.63496,1.69749,0.68286,0.54751,0.6263,0.34016,1.58258,1.65349,1.69842,0.008911,0.008911,0.008911
13,2193.44,1.56674,1.5919,1.68198,0.66038,0.5812,0.63737,0.33032,1.60272,1.60478,1.67537,0.008812,0.008812,0.008812
14,2362.33,1.55522,1.55943,1.66768,0.69359,0.58521,0.65477,0.35269,1.55574,1.6513,1.64572,0.008713,0.008713,0.008713
15,2531.3,1.55467,1.55198,1.65431,0.69091,0.60767,0.67241,0.37112,1.52137,1.6281,1.60075,0.008614,0.008614,0.008614
16,2700.12,1.54233,1.52741,1.64843,0.70298,0.60394,0.67949,0.3722,1.52794,1.58331,1.6016,0.008515,0.008515,0.008515
