epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,138.705,2.73328,3.14195,3.37838,0.29163,0.36234,0.23823,0.0856,2.39939,5.09374,2.77702,0.00332645,0.00332645,0.070062
2,275.301,1.99949,2.17597,2.36863,0.43421,0.37188,0.33437,0.14416,1.99561,3.06656,2.38194,0.00659385,0.00659385,0.0399961
3,411.988,1.88296,2.15385,2.1432,0.32807,0.34073,0.23198,0.08363,2.03315,7.49111,2.31331,0.00979525,0.00979525,0.00986412
4,548.339,1.85616,2.17662,2.05509,0.42657,0.39837,0.32502,0.14184,1.95258,4.89354,2.14495,0.009703,0.009703,0.009703
5,684.588,1.77475,2.02698,1.9329,0.44114,0.40962,0.36423,0.15946,1.85416,6.26762,2.01984,0.009604,0.009604,0.009604
6,820.354,1.7126,1.9064,1.85886,0.57011,0.47687,0.49215,0.23956,1.74491,2.91733,1.93339,0.009505,0.009505,0.009505
7,956.182,1.68267,1.83551,1.82889,0.61197,0.51116,0.53505,0.26304,1.75172,2.64322,1.86389,0.009406,0.009406,0.009406
8,1091.95,1.65738,1.78918,1.80039,0.61343,0.49459,0.54221,0.27251,1.65016,2.48303,1.76447,0.009307,0.009307,0.009307
9,1227.7,1.62698,1.71997,1.76732,0.65111,0.53433,0.59154,0.30421,1.63543,1.96653,1.74205,0.009208,0.009208,0.009208
10,1363.41,1.61945,1.70299,1.75552,0.66972,0.52345,0.6018,0.3193,1.63274,1.95078,1.72285,0.009109,0.009109,0.009109
11,1499.11,1.6075,1.65978,1.73485,0.63507,0.56271,0.60999,0.3332,1.60815,1.81334,1.70583,0.00901,0.00901,0.00901
12,1635.06,1.59301,1.64128,1.71477,0.67299,0.58076,0.63854,0.33992,1.55525,1.93919,1.65846,0.008911,0.008911,0.008911
13,1770.81,1.56866,1.59273,1.69805,0.67816,0.58155,0.65207,0.34764,1.5365,1.62567,1.64295,0.008812,0.008812,0.008812
14,1906.46,1.56146,1.57118,1.68886,0.693,0.56162,0.6461,0.35118,1.53675,1.64777,1.65352,0.008713,0.008713,0.008713
