epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,127.356,2.69509,3.18978,3.39123,0.32061,0.35088,0.25464,0.09836,2.15652,3.85087,2.67738,0.00332645,0.00332645,0.070062
2,252.786,1.9706,2.1729,2.32618,0.45926,0.39814,0.36763,0.15,1.93813,4.0304,2.22813,0.00659385,0.00659385,0.0399961
3,376.652,1.8631,2.14599,2.11376,0.38823,0.36357,0.26677,0.10189,2.04908,8.54017,2.29233,0.00979525,0.00979525,0.00986412
4,497.334,1.84726,2.15445,2.02609,0.40017,0.37911,0.3149,0.1372,1.94847,4.10686,2.10485,0.009703,0.009703,0.009703
5,618.402,1.76923,2.01269,1.91897,0.50956,0.38201,0.37151,0.15782,1.9911,3.12065,2.10349,0.009604,0.009604,0.009604
6,739.228,1.71282,1.90742,1.8532,0.55845,0.44685,0.45497,0.2227,1.83793,2.44464,1.96423,0.009505,0.009505,0.009505
7,860.069,1.67489,1.82696,1.81795,0.63036,0.50531,0.54739,0.26726,1.6968,1.96651,1.83829,0.009406,0.009406,0.009406
8,980.78,1.6529,1.7867,1.79354,0.59864,0.52418,0.55342,0.28122,1.65493,2.27915,1.75563,0.009307,0.009307,0.009307
9,1101.62,1.62401,1.71235,1.75347,0.63012,0.53179,0.58701,0.30077,1.58685,1.93606,1.70952,0.009208,0.009208,0.009208
10,1223.81,1.61593,1.68835,1.73464,0.63734,0.53056,0.58237,0.30483,1.64107,2.2829,1.76369,0.009109,0.009109,0.009109
11,1349.59,1.60212,1.65644,1.7192,0.67887,0.53353,0.60435,0.33126,1.64725,1.83179,1.74923,0.00901,0.00901,0.00901
12,1475.69,1.59328,1.62272,1.70411,0.67379,0.57034,0.63572,0.34356,1.57947,1.88856,1.68879,0.008911,0.008911,0.008911
13,1599.65,1.56635,1.58506,1.68274,0.67027,0.58573,0.64893,0.33701,1.57023,1.71983,1.65131,0.008812,0.008812,0.008812
14,1720.28,1.55729,1.56067,1.67146,0.66961,0.58063,0.64696,0.34928,1.57483,1.61465,1.6514,0.008713,0.008713,0.008713
15,1841.08,1.55562,1.55075,1.66495,0.68727,0.60649,0.67494,0.36947,1.53985,1.53687,1.63042,0.008614,0.008614,0.008614
16,1961.8,1.54696,1.5291,1.65783,0.69351,0.58926,0.67248,0.36873,1.49695,1.59359,1.59033,0.008515,0.008515,0.008515
17,2082.62,1.53628,1.50546,1.64632,0.67935,0.60599,0.66474,0.37332,1.51462,1.5954,1.62449,0.008416,0.008416,0.008416
18,2203.27,1.5282,1.4866,1.64321,0.69933,0.61997,0.69272,0.38785,1.48561,1.54061,1.59255,0.008317,0.008317,0.008317
19,2323.91,1.52565,1.4722,1.63068,0.68651,0.64136,0.69812,0.39018,1.49242,1.4509,1.57338,0.008218,0.008218,0.008218
20,2444.54,1.52011,1.47163,1.62765,0.71251,0.64268,0.70522,0.3885,1.51129,1.42437,1.58501,0.008119,0.008119,0.008119
21,2565.16,1.50638,1.43285,1.60758,0.6794,0.66762,0.70723,0.40347,1.49132,1.37711,1.57038,0.00802,0.00802,0.00802
22,2685.87,1.5042,1.42649,1.60489,0.7307,0.63172,0.71742,0.41089,1.44824,1.36464,1.55167,0.007921,0.007921,0.007921
23,2806.64,1.49985,1.41598,1.60558,0.74136,0.65279,0.73197,0.41741,1.46147,1.36383,1.55237,0.007822,0.007822,0.007822
24,2927.24,1.50319,1.41163,1.60914,0.74176,0.65224,0.732,0.41813,1.46265,1.29397,1.55397,0.007723,0.007723,0.007723
25,3047.8,1.47998,1.38369,1.58624,0.74893,0.65456,0.73691,0.42197,1.43939,1.28199,1.53499,0.007624,0.007624,0.007624
26,3168.42,1.48082,1.37114,1.5864,0.74418,0.66598,0.74079,0.42908,1.43397,1.30622,1.52597,0.007525,0.007525,0.007525
27,3289.07,1.47544,1.36279,1.57813,0.72792,0.66833,0.73848,0.42822,1.42951,1.27719,1.53162,0.007426,0.007426,0.007426
28,3409.79,1.4722,1.35938,1.57668,0.73905,0.67726,0.74601,0.43037,1.41752,1.28097,1.52053,0.007327,0.007327,0.007327
