epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,69.0649,2.64932,2.70042,3.20162,0.2952,0.22562,0.14903,0.04871,2.5111,4.10264,2.77001,0.00332645,0.00332645,0.070062
2,136.71,1.94778,1.96383,2.14731,0.4728,0.41498,0.39144,0.169,2.01526,3.59829,2.08113,0.00659385,0.00659385,0.0399961
3,204.449,1.85965,1.9597,1.96209,0.24166,0.23817,0.15328,0.05552,2.29297,11.2563,2.29272,0.00979525,0.00979525,0.00986412
4,271.983,1.84562,2.00054,1.89441,0.4386,0.37393,0.33718,0.15531,1.92686,3.52016,1.94028,0.009703,0.009703,0.009703
5,339.581,1.76189,1.84822,1.7898,0.4908,0.41643,0.41677,0.19112,1.75261,2.4517,1.72236,0.009604,0.009604,0.009604
6,407.313,1.69885,1.75984,1.72398,0.60267,0.50513,0.54222,0.26804,1.69112,2.63466,1.63977,0.009505,0.009505,0.009505
7,474.92,1.66221,1.68371,1.68894,0.60624,0.52255,0.5624,0.28228,1.68801,2.24824,1.63319,0.009406,0.009406,0.009406
8,542.445,1.63487,1.6432,1.65432,0.62214,0.48933,0.53121,0.25881,1.70497,1.87416,1.62335,0.009307,0.009307,0.009307
9,610.043,1.60433,1.57187,1.6205,0.63239,0.53537,0.57939,0.29658,1.61297,1.75687,1.55234,0.009208,0.009208,0.009208
10,677.627,1.59725,1.55101,1.60397,0.6541,0.5292,0.59368,0.31329,1.60404,1.92376,1.54335,0.009109,0.009109,0.009109
11,745.22,1.57954,1.51919,1.5869,0.64805,0.55175,0.61411,0.33123,1.5839,1.76261,1.53157,0.00901,0.00901,0.00901
12,812.855,1.56838,1.48176,1.57528,0.68926,0.57789,0.64674,0.34804,1.54568,1.83912,1.51105,0.008911,0.008911,0.008911
13,880.623,1.54421,1.46093,1.55933,0.64972,0.60703,0.65068,0.34434,1.53658,1.57289,1.50073,0.008812,0.008812,0.008812
14,948.222,1.53397,1.43434,1.5436,0.68567,0.55661,0.63944,0.34202,1.55173,1.55255,1.49979,0.008713,0.008713,0.008713
15,1015.83,1.53222,1.42846,1.53435,0.68696,0.60312,0.66723,0.36656,1.47205,1.55844,1.45448,0.008614,0.008614,0.008614
16,1083.45,1.51644,1.40427,1.52449,0.68632,0.58809,0.65947,0.36659,1.51398,1.58867,1.45446,0.008515,0.008515,0.008515
17,1151.04,1.50869,1.38769,1.5169,0.65946,0.59616,0.65501,0.36237,1.46741,1.75272,1.45308,0.008416,0.008416,0.008416
18,1218.57,1.49698,1.36204,1.51056,0.6995,0.61257,0.68621,0.38102,1.47644,1.61405,1.44636,0.008317,0.008317,0.008317
19,1286.22,1.50201,1.35067,1.51082,0.68948,0.62294,0.68562,0.38124,1.47423,1.32927,1.44256,0.008218,0.008218,0.008218
20,1353.9,1.4904,1.34904,1.49745,0.72149,0.63177,0.70143,0.39536,1.42714,1.39931,1.41984,0.008119,0.008119,0.008119
21,1421.48,1.47575,1.31534,1.47951,0.7251,0.62244,0.70967,0.40219,1.46245,1.36801,1.42069,0.00802,0.00802,0.00802
22,1489.23,1.4769,1.30973,1.47744,0.73634,0.64966,0.71332,0.40052,1.45263,1.35684,1.42153,0.007921,0.007921,0.007921
23,1556.86,1.47302,1.29497,1.4738,0.72776,0.63463,0.71658,0.40769,1.42847,1.41308,1.40088,0.007822,0.007822,0.007822
24,1624.37,1.4753,1.29937,1.47928,0.73232,0.64583,0.72375,0.41165,1.42622,1.27743,1.40805,0.007723,0.007723,0.007723
25,1691.94,1.44676,1.27099,1.4587,0.74348,0.62814,0.72613,0.40921,1.43602,1.21453,1.40124,0.007624,0.007624,0.007624
26,1759.48,1.4498,1.25799,1.45271,0.74528,0.64217,0.72638,0.41395,1.44665,1.27745,1.40509,0.007525,0.007525,0.007525
27,1826.99,1.44319,1.25097,1.44392,0.74789,0.65596,0.7289,0.41999,1.42321,1.20219,1.39368,0.007426,0.007426,0.007426
28,1894.69,1.44112,1.24088,1.44988,0.73729,0.66422,0.7421,0.42938,1.39388,1.22047,1.37469,0.007327,0.007327,0.007327
29,1962.19,1.42913,1.22511,1.44049,0.74902,0.65541,0.74123,0.42427,1.42698,1.24153,1.38186,0.007228,0.007228,0.007228
30,2029.76,1.43514,1.22584,1.43209,0.74348,0.66859,0.74646,0.43497,1.40486,1.1985,1.37502,0.007129,0.007129,0.007129
31,2097.23,1.42182,1.21019,1.42885,0.72991,0.68108,0.75105,0.43329,1.41718,1.21973,1.38007,0.00703,0.00703,0.00703
32,2164.85,1.42647,1.22153,1.42997,0.75591,0.66762,0.74979,0.43147,1.40958,1.19055,1.3837,0.006931,0.006931,0.006931
33,2232.38,1.40605,1.1905,1.41992,0.75338,0.67359,0.75418,0.43996,1.3743,1.16255,1.35162,0.006832,0.006832,0.006832
34,2299.96,1.41164,1.18737,1.42098,0.75852,0.67779,0.7524,0.43696,1.38341,1.17728,1.37032,0.006733,0.006733,0.006733
35,2367.65,1.40177,1.19217,1.41576,0.76699,0.69272,0.76861,0.44673,1.37806,1.10756,1.35713,0.006634,0.006634,0.006634
36,2435.25,1.40067,1.18153,1.41195,0.77404,0.67441,0.76614,0.44824,1.38441,1.10459,1.35293,0.006535,0.006535,0.006535
37,2502.71,1.40061,1.16195,1.40789,0.77492,0.68806,0.76731,0.44559,1.39131,1.09997,1.35272,0.006436,0.006436,0.006436
38,2570.37,1.39483,1.15998,1.39786,0.77696,0.6786,0.76908,0.4504,1.37856,1.10132,1.34518,0.006337,0.006337,0.006337
39,2637.92,1.38756,1.14583,1.39768,0.76732,0.68284,0.76199,0.44824,1.36724,1.07257,1.34519,0.006238,0.006238,0.006238
40,2705.41,1.38426,1.13949,1.39134,0.7734,0.67396,0.75925,0.4508,1.36151,1.07286,1.34198,0.006139,0.006139,0.006139
41,2772.99,1.37908,1.13123,1.38578,0.76855,0.68955,0.76685,0.44672,1.35944,1.07208,1.33595,0.00604,0.00604,0.00604
42,2840.44,1.37922,1.11893,1.38952,0.76649,0.69167,0.76733,0.44948,1.36753,1.06078,1.34167,0.005941,0.005941,0.005941
43,2907.98,1.3753,1.11913,1.38403,0.7626,0.70304,0.77189,0.4523,1.35897,1.06283,1.33657,0.005842,0.005842,0.005842
44,2975.58,1.36502,1.11527,1.3801,0.75722,0.70761,0.77547,0.45615,1.35833,1.06158,1.3302,0.005743,0.005743,0.005743
45,3043.08,1.3641,1.10892,1.38343,0.76222,0.68872,0.77125,0.45714,1.36058,1.07161,1.33765,0.005644,0.005644,0.005644
46,3110.61,1.35485,1.10156,1.36941,0.76321,0.70352,0.77405,0.45895,1.35884,1.05172,1.33568,0.005545,0.005545,0.005545
47,3178.26,1.35292,1.09379,1.3675,0.77193,0.70372,0.77681,0.45996,1.36952,1.04825,1.33684,0.005446,0.005446,0.005446
48,3245.82,1.34548,1.07999,1.36397,0.77924,0.70225,0.77951,0.46141,1.37377,1.04482,1.33965,0.005347,0.005347,0.005347
49,3313.43,1.34832,1.07719,1.35981,0.77917,0.70207,0.77912,0.46307,1.3696,1.02966,1.34016,0.005248,0.005248,0.005248
50,3380.96,1.35274,1.07702,1.36558,0.77712,0.71055,0.77781,0.46261,1.36435,1.01653,1.34674,0.005149,0.005149,0.005149
51,3448.5,1.34086,1.07505,1.35586,0.77511,0.71003,0.778,0.46406,1.35927,1.0054,1.34379,0.00505,0.00505,0.00505
