epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,121.927,2.72926,3.14319,3.38192,0.33603,0.3517,0.26231,0.09387,2.36234,5.60043,2.73309,0.00332645,0.00332645,0.070062
2,242.51,2.00044,2.17173,2.35136,0.48038,0.42602,0.38886,0.16632,1.97793,2.93692,2.25372,0.00659385,0.00659385,0.0399961
3,363.606,1.88339,2.13911,2.1189,0.32259,0.365,0.26911,0.10191,2.06441,7.35507,2.25409,0.00979525,0.00979525,0.00986412
4,485.283,1.8562,2.16607,2.03746,0.46089,0.41584,0.37329,0.16733,1.9209,4.88821,2.03743,0.009703,0.009703,0.009703
5,610.729,1.78085,2.01562,1.92997,0.53127,0.41599,0.40047,0.16998,1.94026,2.9794,2.02293,0.009604,0.009604,0.009604
6,736.814,1.72047,1.92227,1.85617,0.54966,0.50236,0.50274,0.24888,1.6938,3.4961,1.83117,0.009505,0.009505,0.009505
7,860.868,1.68599,1.83453,1.81895,0.57634,0.44695,0.47209,0.21907,1.83763,2.52364,1.89133,0.009406,0.009406,0.009406
8,988.436,1.65564,1.79025,1.78745,0.5915,0.53628,0.56011,0.28279,1.66981,2.11388,1.7757,0.009307,0.009307,0.009307
9,1121.69,1.63291,1.71413,1.74679,0.64358,0.54509,0.59681,0.30892,1.61077,1.99114,1.7248,0.009208,0.009208,0.009208
10,1255.03,1.61654,1.69845,1.73659,0.64257,0.52353,0.572,0.29959,1.6264,2.25951,1.73327,0.009109,0.009109,0.009109
11,1383.21,1.60806,1.66258,1.72131,0.62376,0.54702,0.59936,0.31989,1.58214,1.82398,1.67626,0.00901,0.00901,0.00901
12,1507.28,1.59248,1.63802,1.70352,0.64769,0.59765,0.64691,0.34517,1.55168,1.72354,1.64239,0.008911,0.008911,0.008911
13,1642,1.56838,1.58942,1.67726,0.68107,0.57476,0.64222,0.33959,1.58046,1.98464,1.63701,0.008812,0.008812,0.008812
14,1778.81,1.56105,1.5702,1.66952,0.66897,0.56947,0.63646,0.33539,1.55874,1.68443,1.65239,0.008713,0.008713,0.008713
15,1913.53,1.55767,1.55973,1.65768,0.67027,0.62719,0.67314,0.36893,1.49631,1.57909,1.58482,0.008614,0.008614,0.008614
16,2044.7,1.54466,1.54085,1.65314,0.70455,0.60031,0.66834,0.36976,1.51971,1.54945,1.60003,0.008515,0.008515,0.008515
17,2160.5,1.54043,1.51401,1.64562,0.69914,0.60421,0.67481,0.37294,1.49097,1.79184,1.5822,0.008416,0.008416,0.008416
18,2276.62,1.52674,1.48826,1.63836,0.69649,0.6186,0.68757,0.37966,1.50441,1.50584,1.58822,0.008317,0.008317,0.008317
19,2394.07,1.52903,1.48029,1.63361,0.72554,0.60902,0.68586,0.38117,1.50297,1.42029,1.5908,0.008218,0.008218,0.008218
