epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,145.81,2.65274,2.87318,3.24744,0.28897,0.27101,0.19785,0.0708,2.21561,3.69763,2.61037,0.00332645,0.00332645,0.070062
2,288.382,1.93001,2.03495,2.21096,0.48199,0.42347,0.37988,0.16356,1.8947,2.88934,2.16693,0.00659385,0.00659385,0.0399961
3,431.051,1.84065,2.01671,2.02963,0.36204,0.31088,0.26318,0.09641,2.0801,8.06136,2.28458,0.00979525,0.00979525,0.00986412
4,574.724,1.8361,2.05515,1.98438,0.39301,0.38174,0.31489,0.13456,1.93605,4.87791,2.06825,0.009703,0.009703,0.009703
5,717.489,1.75612,1.91601,1.88067,0.49171,0.38568,0.38093,0.17577,1.88752,2.68567,1.98783,0.009604,0.009604,0.009604
6,861.022,1.69669,1.79298,1.81844,0.57911,0.48608,0.5163,0.2528,1.72317,2.55379,1.8607,0.009505,0.009505,0.009505
7,1003.81,1.65677,1.71847,1.78163,0.57566,0.49425,0.52196,0.25451,1.75614,2.27533,1.85508,0.009406,0.009406,0.009406
8,1146.97,1.63347,1.66978,1.75012,0.62104,0.57734,0.59855,0.29632,1.67449,2.02062,1.79646,0.009307,0.009307,0.009307
9,1289.75,1.60219,1.60409,1.7197,0.67028,0.56611,0.62267,0.32587,1.60473,1.69351,1.72419,0.009208,0.009208,0.009208
10,1432.73,1.59129,1.57598,1.69804,0.63423,0.53043,0.60017,0.31856,1.56683,1.74434,1.7059,0.009109,0.009109,0.009109
11,1575.76,1.57964,1.54292,1.68984,0.67361,0.553,0.62446,0.32353,1.60149,1.65209,1.71174,0.00901,0.00901,0.00901
12,1719.03,1.56411,1.51129,1.67046,0.67522,0.5727,0.63931,0.34355,1.5484,1.80075,1.70107,0.008911,0.008911,0.008911
13,1862.2,1.5442,1.47417,1.65861,0.69229,0.59792,0.67218,0.36328,1.55371,2.02304,1.6622,0.008812,0.008812,0.008812
14,2004.98,1.52936,1.4522,1.64145,0.67628,0.54827,0.61304,0.32861,1.53516,1.67163,1.66443,0.008713,0.008713,0.008713
15,2148.03,1.5241,1.44417,1.63762,0.70698,0.60565,0.6844,0.37009,1.51824,1.46006,1.65079,0.008614,0.008614,0.008614
16,2290.74,1.51324,1.412,1.62283,0.68715,0.60553,0.68468,0.37592,1.53472,1.40588,1.62617,0.008515,0.008515,0.008515
17,2433.79,1.50409,1.40383,1.61177,0.69138,0.62596,0.69381,0.38383,1.47483,1.47758,1.60562,0.008416,0.008416,0.008416
18,2576.74,1.49237,1.37503,1.60399,0.73549,0.62955,0.70639,0.39644,1.47914,1.45202,1.61323,0.008317,0.008317,0.008317
19,2719.6,1.48926,1.36805,1.59644,0.72472,0.63944,0.71214,0.4007,1.47607,1.3498,1.5973,0.008218,0.008218,0.008218
20,2862.5,1.48633,1.35413,1.59723,0.71407,0.64379,0.71541,0.40143,1.47561,1.38021,1.58932,0.008119,0.008119,0.008119
21,3005.31,1.47286,1.32966,1.58226,0.71316,0.65106,0.72078,0.4029,1.49446,1.33371,1.6162,0.00802,0.00802,0.00802
22,3148.36,1.46645,1.31651,1.5783,0.72658,0.64979,0.7258,0.40909,1.46896,1.33427,1.60658,0.007921,0.007921,0.007921
23,3291.41,1.46397,1.29988,1.57122,0.72705,0.68025,0.73925,0.41196,1.47343,1.55652,1.56892,0.007822,0.007822,0.007822
24,3434.27,1.46301,1.30281,1.57573,0.74877,0.65921,0.74147,0.42537,1.45253,1.22557,1.57764,0.007723,0.007723,0.007723
25,3577.44,1.44425,1.27239,1.55928,0.74773,0.67081,0.74906,0.42379,1.42743,1.25554,1.54664,0.007624,0.007624,0.007624
26,3720.38,1.44407,1.25812,1.55615,0.74752,0.66863,0.7508,0.43316,1.46469,1.25129,1.58345,0.007525,0.007525,0.007525
27,3863.38,1.4331,1.25988,1.54675,0.75207,0.67798,0.75118,0.43545,1.4425,1.16396,1.56555,0.007426,0.007426,0.007426
28,4006.19,1.43127,1.24721,1.5448,0.75386,0.67227,0.75562,0.43819,1.41241,1.17386,1.5488,0.007327,0.007327,0.007327
29,4148.89,1.42418,1.239,1.54025,0.77754,0.65926,0.76425,0.4439,1.38561,1.1293,1.52534,0.007228,0.007228,0.007228
30,4291.87,1.42747,1.2285,1.53674,0.73738,0.68802,0.76268,0.44402,1.42503,1.16103,1.5659,0.007129,0.007129,0.007129
31,4434.59,1.42046,1.21808,1.538,0.78139,0.67339,0.77251,0.44643,1.42803,1.12884,1.55387,0.00703,0.00703,0.00703
32,4578.64,1.41344,1.21982,1.52658,0.77645,0.68318,0.77128,0.44525,1.40778,1.13118,1.53479,0.006931,0.006931,0.006931
33,4721.45,1.40049,1.19391,1.525,0.78556,0.68495,0.77671,0.45223,1.39334,1.11325,1.52585,0.006832,0.006832,0.006832
34,4864.19,1.40337,1.18484,1.52303,0.78362,0.70332,0.77769,0.45214,1.39085,1.09498,1.5184,0.006733,0.006733,0.006733
35,5006.98,1.39546,1.18689,1.51967,0.77377,0.69845,0.77741,0.45511,1.40276,1.13087,1.52518,0.006634,0.006634,0.006634
36,5149.76,1.38802,1.17908,1.51011,0.77983,0.69907,0.78079,0.45563,1.3927,1.08382,1.51569,0.006535,0.006535,0.006535
37,5292.53,1.39317,1.1723,1.51715,0.76594,0.7157,0.78665,0.45907,1.39838,1.08215,1.51508,0.006436,0.006436,0.006436
38,5435.33,1.39175,1.16014,1.50387,0.77769,0.70204,0.78154,0.46506,1.37463,1.06733,1.50334,0.006337,0.006337,0.006337
39,5578.04,1.37843,1.14752,1.49901,0.7786,0.70711,0.78536,0.46712,1.37622,1.05723,1.50541,0.006238,0.006238,0.006238
40,5720.72,1.37454,1.13866,1.49049,0.7788,0.71901,0.78976,0.4674,1.4019,1.06067,1.51005,0.006139,0.006139,0.006139
41,5863.53,1.37277,1.12908,1.49141,0.77997,0.72195,0.79292,0.47015,1.38702,1.03966,1.51172,0.00604,0.00604,0.00604
42,6006.21,1.3672,1.11825,1.48385,0.78847,0.71559,0.7958,0.47295,1.39332,1.02968,1.50315,0.005941,0.005941,0.005941
43,6149.27,1.36915,1.11397,1.48582,0.80355,0.71389,0.79847,0.47376,1.39681,1.02224,1.50942,0.005842,0.005842,0.005842
44,6292.03,1.35938,1.10603,1.47833,0.79699,0.71404,0.80029,0.47365,1.38691,1.01232,1.50073,0.005743,0.005743,0.005743
45,6434.77,1.35485,1.09838,1.47698,0.79356,0.71921,0.79998,0.47294,1.3857,1.02858,1.49777,0.005644,0.005644,0.005644
46,6577.52,1.34974,1.09656,1.4707,0.79264,0.71655,0.79973,0.47331,1.37513,1.02392,1.49797,0.005545,0.005545,0.005545
47,6720.37,1.34252,1.08693,1.46569,0.79908,0.70792,0.80084,0.47769,1.37196,1.02482,1.50056,0.005446,0.005446,0.005446
48,6863.09,1.33375,1.07472,1.4616,0.79902,0.71486,0.80081,0.47643,1.37345,1.02364,1.49909,0.005347,0.005347,0.005347
49,7005.65,1.3387,1.06682,1.46251,0.78732,0.72983,0.80174,0.47702,1.36781,1.01451,1.49787,0.005248,0.005248,0.005248
50,7148.34,1.3353,1.06712,1.46229,0.78589,0.72585,0.80091,0.47568,1.36423,1.01028,1.4988,0.005149,0.005149,0.005149
51,7290.95,1.3294,1.0649,1.45445,0.78027,0.7284,0.80217,0.47933,1.37282,1.00314,1.50092,0.00505,0.00505,0.00505
52,7434.14,1.32266,1.04546,1.44665,0.79112,0.72237,0.80285,0.47906,1.3757,0.99795,1.49933,0.004951,0.004951,0.004951
53,7576.77,1.31081,1.04003,1.44112,0.7974,0.71604,0.80137,0.47835,1.37624,0.99968,1.49811,0.004852,0.004852,0.004852
54,7719.77,1.31484,1.03004,1.44468,0.79098,0.72229,0.80412,0.47825,1.37031,0.98941,1.49375,0.004753,0.004753,0.004753
55,7862.45,1.30574,1.03156,1.43824,0.78384,0.72914,0.80133,0.47885,1.37005,0.99036,1.49339,0.004654,0.004654,0.004654
56,8005.16,1.30529,1.02448,1.43313,0.7853,0.73118,0.7989,0.47771,1.36967,0.98874,1.49262,0.004555,0.004555,0.004555
57,8147.88,1.30138,1.01454,1.42957,0.78534,0.73436,0.79911,0.47856,1.3675,0.98323,1.49459,0.004456,0.004456,0.004456
58,8290.56,1.29515,1.00153,1.42824,0.78563,0.73147,0.79943,0.47928,1.3639,0.98076,1.49291,0.004357,0.004357,0.004357
59,8433.26,1.29667,1.00358,1.43045,0.77891,0.73665,0.80049,0.47916,1.36236,0.98235,1.49262,0.004258,0.004258,0.004258
60,8575.98,1.2896,1.00041,1.42236,0.78645,0.73398,0.80141,0.47967,1.36418,0.98258,1.4933,0.004159,0.004159,0.004159
61,8719,1.28377,0.9888,1.4184,0.79314,0.73014,0.80306,0.48036,1.36583,0.97576,1.49284,0.00406,0.00406,0.00406
62,8861.83,1.27873,0.98861,1.41535,0.78855,0.72845,0.80165,0.48209,1.36461,0.97367,1.49028,0.003961,0.003961,0.003961
63,9005.02,1.27802,0.97416,1.4086,0.78425,0.7317,0.80288,0.48378,1.36619,0.97302,1.49054,0.003862,0.003862,0.003862
64,9147.75,1.26982,0.96644,1.4045,0.78558,0.73422,0.80169,0.484,1.36825,0.96969,1.49218,0.003763,0.003763,0.003763
65,9290.59,1.26729,0.96062,1.40308,0.77854,0.73998,0.80149,0.48358,1.37003,0.96956,1.49372,0.003664,0.003664,0.003664
66,9433.32,1.26694,0.95537,1.3981,0.7889,0.73215,0.80099,0.48459,1.37171,0.96942,1.49534,0.003565,0.003565,0.003565
67,9576.39,1.2487,0.95071,1.3912,0.78268,0.73297,0.80007,0.48463,1.36968,0.96947,1.49447,0.003466,0.003466,0.003466
68,9719.3,1.25247,0.93245,1.38537,0.78163,0.73985,0.80106,0.48403,1.36801,0.96747,1.49362,0.003367,0.003367,0.003367
69,9862.15,1.25112,0.93698,1.38484,0.78089,0.74049,0.79994,0.48435,1.36708,0.96562,1.49347,0.003268,0.003268,0.003268
70,10004.9,1.23997,0.92632,1.38222,0.78064,0.74111,0.79983,0.48455,1.36663,0.96337,1.49363,0.003169,0.003169,0.003169
71,10147.6,1.23228,0.91803,1.37782,0.78386,0.74301,0.80069,0.48422,1.36699,0.96176,1.4941,0.00307,0.00307,0.00307
72,10290.4,1.23028,0.91348,1.3782,0.79096,0.74014,0.80146,0.48464,1.36609,0.96041,1.49348,0.002971,0.002971,0.002971
73,10433,1.22698,0.90216,1.37228,0.79388,0.73715,0.80259,0.48543,1.36536,0.95882,1.49338,0.002872,0.002872,0.002872
74,10575.7,1.22228,0.90498,1.36935,0.79916,0.73542,0.80337,0.48588,1.36513,0.95703,1.49376,0.002773,0.002773,0.002773
75,10718.8,1.21877,0.89336,1.36549,0.79942,0.73269,0.80347,0.48672,1.36477,0.95528,1.49391,0.002674,0.002674,0.002674
76,10861.5,1.21356,0.87573,1.35663,0.79351,0.73617,0.80384,0.48703,1.36448,0.9526,1.49437,0.002575,0.002575,0.002575
77,11004.4,1.20792,0.88256,1.35734,0.79464,0.73775,0.80385,0.48717,1.36524,0.95064,1.49581,0.002476,0.002476,0.002476
78,11147.2,1.20377,0.87564,1.35757,0.79384,0.73712,0.80314,0.48721,1.36609,0.94895,1.49648,0.002377,0.002377,0.002377
79,11290.1,1.19966,0.86359,1.34523,0.79574,0.73995,0.80513,0.48738,1.36622,0.94758,1.49693,0.002278,0.002278,0.002278
80,11432.8,1.19374,0.85485,1.34294,0.78763,0.74743,0.80493,0.48714,1.36622,0.94609,1.49699,0.002179,0.002179,0.002179
81,11575.7,1.18383,0.84667,1.3385,0.79867,0.73607,0.80531,0.48741,1.36516,0.94518,1.49649,0.00208,0.00208,0.00208
82,11718.6,1.18406,0.84001,1.33455,0.79883,0.73732,0.80567,0.48744,1.36533,0.94402,1.49717,0.001981,0.001981,0.001981
83,11861.3,1.17969,0.83519,1.33185,0.79905,0.73511,0.80561,0.48793,1.36483,0.94322,1.49692,0.001882,0.001882,0.001882
84,12004.1,1.17111,0.83061,1.33344,0.79988,0.73889,0.80561,0.48825,1.36484,0.94184,1.49752,0.001783,0.001783,0.001783
85,12147,1.16515,0.82136,1.32258,0.79685,0.74222,0.80602,0.48859,1.36482,0.94148,1.49784,0.001684,0.001684,0.001684
86,12289.7,1.15898,0.82216,1.321,0.7994,0.74029,0.80654,0.48822,1.3644,0.94086,1.49789,0.001585,0.001585,0.001585
87,12432.4,1.16008,0.80549,1.31463,0.79793,0.74311,0.80651,0.48842,1.36419,0.9402,1.49791,0.001486,0.001486,0.001486
88,12575.2,1.15157,0.80462,1.31423,0.80138,0.74212,0.80767,0.48846,1.36385,0.93892,1.49774,0.001387,0.001387,0.001387
89,12718,1.13819,0.79058,1.30147,0.7935,0.74768,0.80772,0.48837,1.36457,0.93796,1.49846,0.001288,0.001288,0.001288
90,12860.7,1.14244,0.79201,1.30166,0.79596,0.74622,0.80871,0.48869,1.36476,0.93663,1.49855,0.001189,0.001189,0.001189
91,13003.8,1.17756,0.75675,1.33102,0.79571,0.74788,0.8084,0.4884,1.36498,0.93591,1.49873,0.00109,0.00109,0.00109
92,13146,1.15065,0.71696,1.30552,0.79602,0.74632,0.80813,0.48885,1.36553,0.93448,1.49883,0.000991,0.000991,0.000991
93,13288.1,1.13733,0.70009,1.2943,0.79885,0.74658,0.80854,0.48912,1.36547,0.93335,1.49927,0.000892,0.000892,0.000892
94,13430.2,1.13175,0.68835,1.29093,0.80199,0.74479,0.80888,0.48902,1.36588,0.93192,1.49962,0.000793,0.000793,0.000793
95,13572.3,1.11552,0.68182,1.2831,0.80185,0.74295,0.80779,0.48878,1.36648,0.93021,1.50027,0.000694,0.000694,0.000694
96,13714.4,1.11324,0.67286,1.28119,0.80538,0.74095,0.8081,0.48874,1.36659,0.92883,1.50048,0.000595,0.000595,0.000595
97,13856.5,1.10081,0.65981,1.27383,0.80598,0.74044,0.80823,0.48875,1.36671,0.92757,1.50098,0.000496,0.000496,0.000496
98,13998.6,1.09625,0.66316,1.26912,0.80494,0.74132,0.80787,0.48881,1.36639,0.92674,1.50098,0.000397,0.000397,0.000397
99,14140.7,1.08733,0.64937,1.25677,0.80454,0.74055,0.80765,0.48865,1.3667,0.92518,1.50173,0.000298,0.000298,0.000298
100,14282.7,1.07494,0.6418,1.25523,0.80666,0.73844,0.80753,0.48844,1.36676,0.92383,1.50226,0.000199,0.000199,0.000199
